Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	2,6298	-4,7614e-003	-6,2001e-002	
2	2,6298	-5,9074e-003	-6,2001e-002	
3	2,56	-5,9074e-003	-6,2001e-002	
4	2,5949	-5,3344e-003	-6,2001e-002	
10	2,5494	-8,09e-005	-7,4001e-002	
11	2,56	-5,9074e-003	-6,8001e-002	
12	2,5557	-3,5383e-003	-7,2831e-002	
13	2,5585	-5,0766e-003	-7,1089e-002	
15	2,6299	-5,9074e-003	-6,8001e-002	
16	2,63	-5,9074e-003	-7,4001e-002	
18	2,63	1,2433e-003	-7,4001e-002	
19	2,5897	5,8118e-004	-7,4001e-002	
20	2,63	0,10372	-7,1491e-002	
21	2,63	0,10094	-7,4001e-002	
22	2,63	0,10263	-7,4001e-002	
23	2,63	-1,024e-002	-7,1491e-002	
24	2,63	-7,4646e-003	-7,4001e-002	
25	2,63	-9,1502e-003	-7,4001e-002	
268	2,529	3,3739e-002	-7,4001e-002	
269	2,567	3,3739e-002	-7,4001e-002	
270	2,529	5,9739e-002	-7,4001e-002	
271	2,5198	5,5931e-002	-7,4001e-002	
272	2,516	4,6739e-002	-7,4001e-002	
273	2,5198	3,7546e-002	-7,4001e-002	
274	2,567	5,9739e-002	-7,4001e-002	
275	2,5768	3,8142e-002	-7,4001e-002	
276	2,58	4,6739e-002	-7,4001e-002	
277	2,5762	5,5931e-002	-7,4001e-002	
278	2,63	8,4093e-002	-7,4001e-002	
279	2,63	4,2668e-002	-7,4001e-002	
280	2,56	8,4093e-002	-7,4001e-002	
281	2,595	8,4093e-002	-7,4001e-002	
282	2,518	6,1005e-002	-7,4001e-002	
283	2,518	1,718e-002	-7,4001e-002	
284	2,505	3,9093e-002	-7,4001e-002	
395	2,63	9,2234e-002	-7,4001e-002	
1898	2,5615	1,1765e-004	-7,4001e-002	
2110	2,548	3,3739e-002	-7,4001e-002	
2111	2,548	5,9739e-002	-7,4001e-002	
2112	2,63	6,338e-002	-7,4001e-002	
2113	2,5775	8,4093e-002	-7,4001e-002	
2114	2,539	7,2549e-002	-7,4001e-002	
2115	2,5085	5,1823e-002	-7,4001e-002	
3644	2,601	5,1978e-002	-7,4001e-002	
5	2,5957	-5,9074e-003	-6,2001e-002	
14	2,56	-5,9074e-003	-7,4001e-002	
17	2,595	-5,9074e-003	-7,4001e-002	
66	2,6299	9,8237e-002	-6,8001e-002	
67	0,19487	0,13824	-6,8001e-002	
68	2,5802	9,9053e-002	-6,8001e-002	
69	2,5305	9,987e-002	-6,8001e-002	
70	2,4808	0,10069	-6,8001e-002	
71	2,4311	0,1015	-6,8001e-002	
72	2,3814	0,10232	-6,8001e-002	
73	2,3317	0,10313	-6,8001e-002	
74	2,282	0,10395	-6,8001e-002	
75	2,2323	0,10477	-6,8001e-002	
76	2,1826	0,10558	-6,8001e-002	
77	2,1329	0,1064	-6,8001e-002	
78	2,0832	0,10722	-6,8001e-002	
79	2,0335	0,10803	-6,8001e-002	
