Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	-0,1115	0,24043	-0,1165	
2	-0,1115	0,24043	-0,1225	
3	-0,11136	0,23831	-0,11738	
4	-0,11122	0,23743	-0,1195	
5	-0,11136	0,23831	-0,12162	
6	-7,85e-002	0,24043	-0,1165	
7	-7,8637e-002	0,24255	-0,11738	
8	-7,8775e-002	0,24343	-0,1195	
9	-7,8637e-002	0,24255	-0,12162	
10	-7,85e-002	0,24043	-0,1225	
11	-7,8637e-002	0,23831	-0,12162	
12	-7,8775e-002	0,23743	-0,1195	
13	-7,8637e-002	0,23831	-0,11738	
14	-0,11136	0,24255	-0,12162	
15	-0,11122	0,24343	-0,1195	
16	-0,11136	0,24255	-0,11738	
17	-0,11888	0,24043	-5,85e-002	
18	-7,1124e-002	0,24043	-5,85e-002	
19	-0,11188	0,22355	-5,85e-002	
20	-9,5e-002	0,21656	-5,85e-002	
21	-7,8117e-002	0,22355	-5,85e-002	
22	-7,3e-002	0,24043	-5,15e-002	
23	-0,117	0,24043	-5,15e-002	
24	-0,11056	0,22488	-5,15e-002	
25	-9,5e-002	0,21843	-5,15e-002	
26	-7,9444e-002	0,22488	-5,15e-002	
27	-7,9444e-002	0,25599	-5,15e-002	
28	-9,5e-002	0,26243	-5,15e-002	
29	-0,11056	0,25599	-5,15e-002	
30	-7,8117e-002	0,25732	-5,85e-002	
31	-9,5e-002	0,26431	-5,85e-002	
32	-0,11188	0,25732	-5,85e-002	
33	-7,e-002	0,24043	-5,85e-002	
34	-0,12	0,24043	-5,85e-002	
35	-7,7322e-002	0,25811	-5,85e-002	
36	-9,5e-002	0,26543	-5,85e-002	
37	-0,11268	0,25811	-5,85e-002	
38	-0,11268	0,22275	-5,85e-002	
39	-9,5e-002	0,21543	-5,85e-002	
40	-7,7322e-002	0,22275	-5,85e-002	
41	-0,12	0,24043	-7,15e-002	
42	-7,e-002	0,24043	-7,15e-002	
43	-0,11268	0,22275	-7,15e-002	
44	-9,5e-002	0,21543	-7,15e-002	
45	-7,7322e-002	0,22275	-7,15e-002	
46	-7,7322e-002	0,25811	-7,15e-002	
47	-9,5e-002	0,26543	-7,15e-002	
48	-0,11268	0,25811	-7,15e-002	
49	-7,4e-002	0,24043	-7,15e-002	
50	-0,116	0,24043	-7,15e-002	
51	-8,0151e-002	0,25528	-7,15e-002	
52	-9,5e-002	0,26143	-7,15e-002	
53	-0,10985	0,25528	-7,15e-002	
54	-0,10985	0,22558	-7,15e-002	
55	-9,5e-002	0,21943	-7,15e-002	
56	-8,0151e-002	0,22558	-7,15e-002	
57	-0,115	0,24043	-7,25e-002	
58	-0,11529	0,24043	-7,1793e-002	
59	-7,5e-002	0,24043	-7,25e-002	
60	-0,10914	0,22629	-7,25e-002	
61	-9,5e-002	0,22043	-7,25e-002	
62	-8,0858e-002	0,22629	-7,25e-002	
63	-8,0858e-002	0,25457	-7,25e-002	
64	-9,5e-002	0,26043	-7,25e-002	
65	-0,10914	0,25457	-7,25e-002	
66	-0,115	0,24043	-0,1015	
67	-7,5e-002	0,24043	-0,1015	
68	-0,10914	0,22629	-0,1015	
69	-9,5e-002	0,22043	-0,1015	
70	-8,0858e-002	0,22629	-0,1015	
71	-8,0858e-002	0,25457	-0,1015	
72	-9,5e-002	0,26043	-0,1015	
73	-0,10914	0,25457	-0,1015	
74	-0,114	0,24043	-0,1025	
75	-7,6e-002	0,24043	-0,1025	
76	-0,10844	0,227	-0,1025	
77	-9,5e-002	0,22143	-0,1025	
78	-8,1565e-002	0,227	-0,1025	
79	-8,1565e-002	0,25387	-0,1025	
80	-9,5e-002	0,25943	-0,1025	
81	-0,10844	0,25387	-0,1025	
82	-7,85e-002	0,24043	-0,1025	
83	-0,1115	0,24043	-0,1025	
