Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	-0,1115	0,24043	-0,1165	
2	-0,1115	0,24043	-0,1225	
3	-0,11136	0,23831	-0,11738	
4	-0,11122	0,23743	-0,1195	
5	-0,11136	0,23831	-0,12162	
6	-7,85e-002	0,24043	-0,1165	
7	-7,8706e-002	0,24303	-0,118	
8	-7,8706e-002	0,24303	-0,121	
9	-7,85e-002	0,24043	-0,1225	
10	-7,8706e-002	0,23783	-0,121	
11	-7,8706e-002	0,23783	-0,118	
12	-0,11136	0,24255	-0,12162	
13	-0,11122	0,24343	-0,1195	
14	-0,11136	0,24255	-0,11738	
29	-7,e-002	0,24043	-5,85e-002	
30	-0,12	0,24043	-5,85e-002	
31	-7,1903e-002	0,25	-5,85e-002	
32	-7,7322e-002	0,25811	-5,85e-002	
33	-8,5433e-002	0,26353	-5,85e-002	
34	-9,5e-002	0,26543	-5,85e-002	
35	-0,10457	0,26353	-5,85e-002	
36	-0,11268	0,25811	-5,85e-002	
37	-0,1181	0,25	-5,85e-002	
38	-0,1181	0,23087	-5,85e-002	
39	-0,11268	0,22275	-5,85e-002	
40	-0,10457	0,21734	-5,85e-002	
41	-9,5e-002	0,21543	-5,85e-002	
42	-8,5433e-002	0,21734	-5,85e-002	
43	-7,7322e-002	0,22275	-5,85e-002	
44	-7,1903e-002	0,23087	-5,85e-002	
45	-0,12	0,24043	-7,15e-002	
46	-0,12	0,24043	-6,5e-002	
47	-7,e-002	0,24043	-7,15e-002	
48	-0,1181	0,23087	-7,15e-002	
49	-0,11268	0,22275	-7,15e-002	
50	-0,10457	0,21734	-7,15e-002	
51	-9,5e-002	0,21543	-7,15e-002	
52	-8,5433e-002	0,21734	-7,15e-002	
53	-7,7322e-002	0,22275	-7,15e-002	
54	-7,1903e-002	0,23087	-7,15e-002	
55	-7,1903e-002	0,25	-7,15e-002	
56	-7,7322e-002	0,25811	-7,15e-002	
57	-8,5433e-002	0,26353	-7,15e-002	
58	-9,5e-002	0,26543	-7,15e-002	
59	-0,10457	0,26353	-7,15e-002	
60	-0,11268	0,25811	-7,15e-002	
61	-0,1181	0,25	-7,15e-002	
62	-7,4e-002	0,24043	-7,15e-002	
63	-0,116	0,24043	-7,15e-002	
64	-7,608e-002	0,24954	-7,15e-002	
65	-8,1907e-002	0,25685	-7,15e-002	
66	-9,0327e-002	0,26091	-7,15e-002	
67	-9,9673e-002	0,26091	-7,15e-002	
68	-0,10809	0,25685	-7,15e-002	
69	-0,11392	0,24954	-7,15e-002	
70	-0,11392	0,23132	-7,15e-002	
71	-0,10809	0,22401	-7,15e-002	
72	-9,9673e-002	0,21996	-7,15e-002	
73	-9,0327e-002	0,21996	-7,15e-002	
74	-8,1907e-002	0,22401	-7,15e-002	
75	-7,608e-002	0,23132	-7,15e-002	
76	-0,115	0,24043	-7,25e-002	
77	-7,5e-002	0,24043	-7,25e-002	
78	-0,11302	0,23175	-7,25e-002	
79	-0,10747	0,2248	-7,25e-002	
80	-9,945e-002	0,22093	-7,25e-002	
81	-9,055e-002	0,22093	-7,25e-002	
82	-8,253e-002	0,2248	-7,25e-002	
83	-7,6981e-002	0,23175	-7,25e-002	
84	-7,6981e-002	0,24911	-7,25e-002	
85	-8,253e-002	0,25607	-7,25e-002	
86	-9,055e-002	0,25993	-7,25e-002	
87	-9,945e-002	0,25993	-7,25e-002	
88	-0,10747	0,25607	-7,25e-002	
89	-0,11302	0,24911	-7,25e-002	
90	-0,115	0,24043	-0,1015	
91	-0,115	0,24043	-8,2167e-002	
92	-0,115	0,24043	-9,1833e-002	
93	-7,5e-002	0,24043	-0,1015	
94	-0,11302	0,23175	-0,1015	
95	-0,10747	0,2248	-0,1015	
96	-9,945e-002	0,22093	-0,1015	
